ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1,LS1-DamageStateWeights,LS2-Family,LS2-Theta_0,LS2-Theta_1,LS2-DamageStateWeights,LS3-Family,LS3-Theta_0,LS3-Theta_1,LS3-DamageStateWeights,LS4-Family,LS4-Theta_0,LS4-Theta_1,LS4-DamageStateWeights
LF.RM2.M.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.1,0.4,,lognormal,0.14,0.4,,lognormal,0.26,0.4,,lognormal,0.47,0.4,0.9 | 0.1
LF.RM2.H.HC,0,Peak Ground Acceleration,g,0,0,lognormal,0.12,0.4,,lognormal,0.24,0.4,,lognormal,0.67,0.4,,lognormal,1.78,0.4,0.95 | 0.05
LF.RM2.H.MC,0,Peak Ground Acceleration,g,0,0,lognormal,0.12,0.4,,lognormal,0.2,0.4,,lognormal,0.48,0.4,,lognormal,1.01,0.4,0.95 | 0.05
LF.RM2.H.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.11,0.4,,lognormal,0.17,0.4,,lognormal,0.35,0.4,,lognormal,0.62,0.4,0.95 | 0.05
LF.RM2.H.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.09,0.4,,lognormal,0.13,0.4,,lognormal,0.27,0.4,,lognormal,0.5,0.4,0.95 | 0.05
LF.URM.L.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.14,0.4,,lognormal,0.2,0.4,,lognormal,0.32,0.4,,lognormal,0.46,0.4,0.85 | 0.15
LF.URM.L.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.13,0.4,,lognormal,0.17,0.4,,lognormal,0.26,0.4,,lognormal,0.37,0.4,0.85 | 0.15
LF.URM.M.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.1,0.4,,lognormal,0.16,0.4,,lognormal,0.27,0.4,,lognormal,0.46,0.4,0.85 | 0.15
LF.URM.M.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.09,0.4,,lognormal,0.13,0.4,,lognormal,0.21,0.4,,lognormal,0.38,0.4,0.85 | 0.15
LF.MH.HC,0,Peak Ground Acceleration,g,0,0,lognormal,0.11,0.4,,lognormal,0.18,0.4,,lognormal,0.31,0.4,,lognormal,0.6,0.4,0.97 | 0.03
LF.MH.MC,0,Peak Ground Acceleration,g,0,0,lognormal,0.11,0.4,,lognormal,0.18,0.4,,lognormal,0.31,0.4,,lognormal,0.6,0.4,0.97 | 0.03
LF.MH.LC,0,Peak Ground Acceleration,g,0,0,lognormal,0.11,0.4,,lognormal,0.18,0.4,,lognormal,0.31,0.4,,lognormal,0.6,0.4,0.97 | 0.03
LF.MH.PC,0,Peak Ground Acceleration,g,0,0,lognormal,0.08,0.4,,lognormal,0.11,0.4,,lognormal,0.18,0.4,,lognormal,0.34,0.4,0.97 | 0.03
